sample,0,1,2,3,4,5
barcode01,96.0,3629.5,3747.0,2130.0,1587.0,10.0
barcode02,133.0,7426.0,7631.0,5228.0,4818.0,7.0
barcode03,14.0,1063.0,1061.0,72.0,72.0,0.0
barcode04,2.0,4.0,4.0,0.0,0.0,0.0
barcode05,28.0,5935.0,5953.0,1158.0,1111.0,1.0
barcode06,41.0,1761.0,1767.0,369.0,338.0,0.0
barcode07,104.0,10578.0,10565.0,1349.0,1291.0,6.0
barcode08,94.0,1098.5,1083.0,90.0,89.0,0.0
barcode09,9.0,223.0,220.0,16.0,15.0,0.0
barcode10,2.0,10.0,10.0,0.0,0.0,0.0
barcode11,21.0,371.0,374.0,14.0,12.0,0.0
barcode12,7.0,166.0,168.0,24.0,24.0,0.0
barcode13,0.0,0.0,0.0,0.0,0.0,0.0
barcode14,0.0,0.0,0.0,0.0,0.0,0.0
barcode15,0.0,0.0,0.0,0.0,1.0,0.0
barcode16,1.0,1.0,1.0,0.0,0.0,0.0
barcode17,0.0,0.0,0.0,0.0,0.0,0.0
