week,Clade,year,Clade_count,total_count,relative_abundance_gisaid,relative_abundance_ww_deconv_lin
49,6B.1A.5a.2a,2023,4,8,0.5,0.695769707
49,6B.1A.5a.2a.1,2023,4,8,0.5,0.276683492
50,6B.1A.5a.2a,2023,9,12,0.75,0.700465877
50,6B.1A.5a.2a.1,2023,3,12,0.25,0.273450652
51,6B.1A.5a.2a,2023,7,7,1,0.67994398
51,6B.1A.5a.2a.1,,,,,0.307064385
52,6B.1A.5a.2a,2023,5,8,0.625,0.756840435
52,6B.1A.5a.2a.1,2023,3,8,0.375,0.239192957
01,6B.1A.5a.2a,2024,6,6,1,0.624901176
01,6B.1A.5a.2a.1,,,,,0.34564472
02,6B.1A.5a.2a,2024,12,12,1,0.682235456
02,6B.1A.5a.2a.1,,,,,0.289155575
03,6B.1A.5a.2a,2024,20,20,1,0.706307598
03,6B.1A.5a.2a.1,,,,,0.266369803
04,6B.1A.5a.2a,2024,10,12,0.833333333333333,0.697563153
04,6B.1A.5a.2a.1,2024,2,12,0.166666666666667,0.272569187
05,6B.1A.5a.2a,2024,22,24,0.916666666666667,0.838003533
05,6B.1A.5a.2a.1,2024,2,24,0.0833333333333333,0.141042836
06,6B.1A.5a.2a,2024,8,8,1,0.886940163
06,6B.1A.5a.2a.1,,,,,0.107719268
07,6B.1A.5a.2a,2024,10,10,1,0.912657006
07,6B.1A.5a.2a.1,,,,,0.058513431
08,6B.1A.5a.2a,2024,10,10,1,0.886683439
08,6B.1A.5a.2a.1,,,,,0.086436944
